Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
       36    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        4    0.000    0.000    0.000    0.000 annotationlib.py:673(transmogrify)
       46    0.000    0.000    0.000    0.000 dataclasses.py:733(<genexpr>)
       12    0.000    0.000    0.000    0.000 inspect.py:1712(_shadowed_dict)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       45    0.000    0.000    0.000    0.000 inspect.py:3028(<genexpr>)
     12/7    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
      123    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
        2    0.000    0.000    0.000    0.000 argparse.py:1983(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:1662(_get_optional_kwargs)
        2    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       41    0.000    0.000    0.000    0.000 dataclasses.py:579(_field_assign)
        1    0.000    0.000    0.000    0.000 argparse.py:161(HelpFormatter)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       41    0.000    0.000    0.000    0.000 dataclasses.py:651(_init_param)
        4    0.000    0.000    0.000    0.000 annotationlib.py:662(__missing__)
        2    0.000    0.000    0.000    0.000 argparse.py:1785(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:2103(take_action)
       42    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 annotationlib.py:430(__make_new)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      7/5    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
       20    0.000    0.000    0.000    0.000 _parser.py:261(get)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
